"ticker","name"
"AAVE-USD","AAVE Liquidity Protocol"
"ADA-USD","Cardano Token"
"AGIX-USD","SingularityNET Token"
"ATOM-USD","Cosmos Network Token"
"AVAX-USD","Avalanche"
"BNB-USD","Binance Coin"
"BTC-USD","Bitcoin"
"CAKE-USD","PancakeSwap Pancake Token"
"DOGE-USD","DogeCoin"
"DOT-USD","PolkaDot Toket"
"ETH-USD","Ethereum"
"FIL-USD","FileCoin"
"LINK-USD","ChainLink Token"
"LTC-USD","LiteCoin"
"MANA-USD","Decentraland"
"MATIC-USD","Poligon Token"
"NEAR-USD","NEAR Protocol"
"PAXG-USD","PAX Gold"
"RNDR-USD","Render Token"
"SUSHI-USD","SushiSwap Token"
"TON-USD","TON Coin (Telegram)"
"TRX-USD","TRON (BitTorrent)"
"UNI-USD","UniSwap Unicorn Token"